Age,Address,User agent,Mac vendor,Discovered when
10,993 Washington Ave,OfficeClickToRun,"Samsung Electronics Co.,Ltd",about 1 hour ago
11,94 W Dodge Rd,okhttp/3.12.3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",25 minutes ago
8,95 Main Ave #2,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Word 16.0.13801; Pro),Intel Corporate,40 minutes ago
6,577 Parade St,"Mozilla/5.0 (Linux; Android 11; SM-G770F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
8,9506 Edgemore Ave,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
11,4 Kohler Memorial Dr,"Mozilla/5.0 (Linux; Android 11; M2103K19G Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,about 1 hour ago
10,86 Nw 66th St #8673,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-J320F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/13.2 Chrome/83.0.4103.106 Mobile Safari/537.36","Hon Hai Precision Ind. Co.,Ltd.",about 1 hour ago
10,201 Hawk Ct,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
5,523 Marquette Ave,"Mozilla/5.0 (X11; CrOS x86_64 13505.63.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36","Apple, Inc.",about 1 hour ago
10,8 Mcarthur Ln,Facebook,Intel Corporate,24 minutes ago
10,9387 Charcot Ave,Facebook,Intel Corporate,24 minutes ago
11,90991 Thorburn Ave,OfficeClickToRun,"Samsung Electronics Co.,Ltd",about 1 hour ago
5,1 N San Saba,"Mozilla/5.0 (Linux; Android 11; SM-G770F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
10,90131 J St,"server-bag [Mac OS X,10.14.6,18G8012,MacBook10,1]",Intel Corporate,38 minutes ago
6,43496 Commercial Dr #29,"Mozilla/5.0 (Linux; Android 11; Nokia 8.3 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",11 minutes ago
12,87393 E Highland Rd,"server-bag [Mac OS X,10.15.7,19H1030,MacBookPro16,3]",Intel Corporate,40 minutes ago
9,2 Cedar Ave #84,"itunesstored/1.0 iOS/12.5.4 model/iPhone7,2 hwp/t7000 build/16H50 (6; dt:106)",Intel Corporate,about 1 hour ago
8,30 W 80th St #1995,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
9,721 Interstate 45 S,"Mozilla/5.0 (X11; CrOS x86_64 13982.69.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.130 Safari/537.36","Apple, Inc.",about 1 hour ago
8,18 Waterloo Geneva Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,about 1 hour ago
12,26849 Jefferson Hwy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","Apple, Inc.",about 1 hour ago
12,2845 Boulder Crescent St,"Mozilla/5.0 (Linux; Android 11; Nokia 8.3 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",11 minutes ago
10,4284 Dorigo Ln,GoogleSoftwareUpdate/1.3.16.180 CFNetwork/1240.0.4 Darwin/20.6.0,"Apple, Inc.",7 minutes ago
6,735 Crawford Dr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",Unknown,42 minutes ago
6,69734 E Carrillo St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
8,985 E 6th Ave,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
11,617 Nw 36th Ave,"Mozilla/5.0 (Linux; Android 6.0.1; SM-A300FU Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36 GSA/12.34.17.23.arm","Apple, Inc.",18 minutes ago
5,20 S Babcock St,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",Intel Corporate,9 minutes ago
8,6882 Torresdale Ave,"Mozilla/5.0 (X11; CrOS x86_64 13505.63.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36","Apple, Inc.",about 1 hour ago
10,8139 I Hwy 10 #92,"itunesstored/1.0 iOS/12.5.4 model/iPhone7,2 hwp/t7000 build/16H50 (6; dt:106)",Intel Corporate,about 1 hour ago
9,701 S Harrison Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Huawei Device Co., Ltd.",about 1 hour ago
7,7 S San Marcos Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,40 minutes ago
10,38062 E Main St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Huawei Device Co., Ltd.",about 1 hour ago
11,759 Eldora St,"Mozilla/5.0 (Linux; Android 11; M2103K19G Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,about 1 hour ago
10,29 Cherry St #7073,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
11,96263 Greenwood Pl,okhttp/3.12.3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",25 minutes ago
10,775 W 17th St,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Unknown,about 1 hour ago
5,1 Midway Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
11,66552 Malone Rd,"server-bag [macOS,11.5.2,20G95,MacBookAir9,1]",Intel Corporate,about 1 hour ago
6,105 Richmond Valley Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",Intel Corporate,about 1 hour ago
6,429 Tiger Ln,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Apple, Inc.",about 1 hour ago
7,3158 Runamuck Pl,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",Unknown,about 1 hour ago
10,6651 Municipal Rd,A/7.1.1/samsung/SM-T560NU/MSM8916/wifi-only/QCX3/l15325911229736774147/-/-/-/samsung/393838/393839/-,SAMSUNG ELECTRO-MECHANICS(THAILAND),about 1 hour ago
7,1933 Packer Ave #2,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
6,5384 Southwyck Blvd,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0;),AzureWave Technology Inc.,28 minutes ago
8,8 Industry Ln,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
9,866 34th Ave,"Mozilla/5.0 (X11; CrOS x86_64 13505.63.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36","Apple, Inc.",about 1 hour ago
11,64 5th Ave #1153,"server-bag [macOS,11.5.2,20G95,MacBookAir9,1]",Intel Corporate,about 1 hour ago
12,2742 Distribution Way,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0;),AzureWave Technology Inc.,28 minutes ago
12,209 Decker Dr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",Intel Corporate,9 minutes ago
6,18 Fountain St,"Mozilla/5.0 (Linux; Android 6.0.1; SM-A300FU Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36 GSA/12.34.17.23.arm","Apple, Inc.",18 minutes ago
7,7140 University Ave,"itunesstored/1.0 iOS/12.5.4 model/iPhone7,2 hwp/t7000 build/16H50 (6; dt:106)",Intel Corporate,about 1 hour ago
11,4 Ralph Ct,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
7,2500 Pringle Rd Se #508,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",Unknown,42 minutes ago
12,25 E 75th St #69,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
5,36 Enterprise St Se,SafariViewService/1.0 CFNetwork/978.0.7 Darwin/18.7.0,"Apple, Inc.",10 minutes ago
9,1 Rancho Del Mar Shopping C,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
12,77 222 Dr,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0;),AzureWave Technology Inc.,28 minutes ago
6,394 Manchester Blvd,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",Unknown,about 1 hour ago
7,560 Civic Center Dr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
7,3717 Hamann Industrial Pky,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,40 minutes ago
12,2094 Montour Blvd,SafariViewService/1.0 CFNetwork/978.0.7 Darwin/18.7.0,"Apple, Inc.",10 minutes ago
10,62 Monroe St,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
7,47857 Coney Island Ave,"Mozilla/5.0 (Linux; Android 11; SM-G770F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
11,303 N Radcliffe St,OfficeClickToRun,"Samsung Electronics Co.,Ltd",about 1 hour ago
10,80312 W 32nd St,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
5,62260 Park Stre,"Mozilla/5.0 (X11; CrOS x86_64 13982.69.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.130 Safari/537.36","Apple, Inc.",about 1 hour ago
5,70295 Pioneer Ct,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",Intel Corporate,about 1 hour ago
11,10759 Main St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",Intel Corporate,about 1 hour ago
6,3718 S Main St,"Mozilla/5.0 (X11; CrOS x86_64 13505.63.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36","Apple, Inc.",about 1 hour ago
10,5 E Truman Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
12,50 E Wacker Dr,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0;),AzureWave Technology Inc.,28 minutes ago
9,910 Rahway Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,40 minutes ago
6,4379 Highway 116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
12,5161 Dorsett Rd,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Intel Corporate,about 1 hour ago
7,2409 Alabama Rd,"itunesstored/1.0 iOS/12.5.4 model/iPhone7,2 hwp/t7000 build/16H50 (6; dt:106)",Intel Corporate,about 1 hour ago
10,16452 Greenwich St,"Mozilla/5.0 (X11; CrOS x86_64 13505.63.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36","Apple, Inc.",about 1 hour ago
8,55262 N French Rd,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,40 minutes ago
11,8100 Jacksonville Rd #7,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",Unknown,about 1 hour ago
7,2 S Biscayne Blvd,"Mozilla/5.0 (Windows NT 10.0: Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Xiaomi Communications Co Ltd,about 1 hour ago
11,5 Tomahawk Dr,"server-bag [Mac OS X,10.15.7,19H1030,MacBookPro16,3]",Intel Corporate,40 minutes ago
6,5 Little River Tpke,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
6,49 N Mays St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","Apple, Inc.",about 1 hour ago
12,9745 W Main St,"Mozilla/5.0 (Windows NT 10.0: Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Xiaomi Communications Co Ltd,about 1 hour ago
6,8 Fair Lawn Ave,"server-bag [Mac OS X,10.15.7,19H1030,MacBookPro16,3]",Intel Corporate,40 minutes ago
7,38938 Park Blvd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
11,39 S 7th St,GoogleSoftwareUpdate/1.3.16.180 CFNetwork/1240.0.4 Darwin/20.6.0,"Apple, Inc.",7 minutes ago
10,81 Norris Ave #525,"Mozilla/5.0 (Linux; Android 11; Nokia 8.3 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",11 minutes ago
11,61556 W 20th Ave,"server-bag [Mac OS X,10.15.7,19H1030,MacBookPro16,3]",Intel Corporate,40 minutes ago
7,25 Minters Chapel Rd #9,GoogleSoftwareUpdate/1.3.16.180 CFNetwork/1240.0.4 Darwin/20.6.0,"Apple, Inc.",7 minutes ago
7,17 Morena Blvd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
8,38 Pleasant Hill Rd,"server-bag [Mac OS X,10.14.6,18G8012,MacBook10,1]",Intel Corporate,38 minutes ago
8,1 State Route 27,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
11,7219 Woodfield Rd,"Mozilla/5.0 (Linux; Android 11; Nokia 8.3 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",11 minutes ago
10,3 N Groesbeck Hwy,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0;),AzureWave Technology Inc.,28 minutes ago
12,2 W Beverly Blvd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Apple, Inc.",about 1 hour ago
7,98 University Dr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
11,60 Old Dover Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
11,3 Aspen St,OfficeClickToRun,"Samsung Electronics Co.,Ltd",about 1 hour ago
9,636 Commerce Dr #42,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
5,2 Flynn Rd,SafariViewService/1.0 CFNetwork/978.0.7 Darwin/18.7.0,"Apple, Inc.",10 minutes ago
8,41 Steel Ct,"Mozilla/5.0 (Linux; Android 9; Note_7P Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
6,5221 Bear Valley Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Apple, Inc.",about 1 hour ago
6,6 Gilson St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Huawei Device Co., Ltd.",about 1 hour ago
12,79 S Howell Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
6,3387 Ryan Dr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,40 minutes ago
7,2215 Prosperity Dr,"Mozilla/5.0 (Linux; Android 11; SM-G770F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
7,406 Main St,"Mozilla/5.0 (Linux; Android 11; M2103K19G Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,about 1 hour ago
7,48 Stratford Ave,"server-bag [Mac OS X,10.14.6,18G9323,MacBookAir8,2]","Samsung Electronics Co.,Ltd",29 minutes ago
11,128 Bransten Rd,"Mozilla/5.0 (Linux; Android 11; SM-G770F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
11,2140 Diamond Blvd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
8,9390 S Howell Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,40 minutes ago
8,772 W River Dr,"Mozilla/5.0 (X11; CrOS x86_64 13505.63.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36","Apple, Inc.",about 1 hour ago
6,63381 Jenks Ave,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0;),AzureWave Technology Inc.,28 minutes ago
8,8590 Lake Lizzie Dr,GoogleSoftwareUpdate/1.3.16.180 CFNetwork/1240.0.4 Darwin/20.6.0,"Apple, Inc.",7 minutes ago
9,13 Gunnison St,"server-bag [Mac OS X,10.14.6,18G8012,MacBook10,1]",Intel Corporate,38 minutes ago
8,6 Kains Ave,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
10,4 Bloomfield Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
5,251 Park Ave #979,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",Intel Corporate,about 1 hour ago
