Income,Gun Index,phone1
335400,0.5129428049826714,602-277-4385
82900,0.9807448120459288,718-976-8610
191100,0.32796570757029797,510-686-3407
476900,0.8417017419459454,207-295-7569
393200,0.6227177329621149,404-505-4445
323900,0.9486727765684339,503-940-8327
45100,0.5915561882046095,215-372-1718
443400,0.90791355025975,602-906-9419
506300,0.925288973853559,516-968-6051
373700,0.38649381095601054,617-365-2134
42600,0.4792760002457426,770-844-3447
139100,0.3843728345429511,301-998-9644
271400,0.46850283448526153,516-816-1541
578700,0.22618769808241568,201-431-2989
586000,0.2445036619040627,973-654-1561
314000,0.3862899675756021,330-791-8557
312100,0.7022445659512565,415-767-6596
349400,0.530806907517814,714-523-6653
141100,0.9093853002105617,512-233-1831
121700,0.08060550232646013,509-695-5199
317100,0.19150110906582052,718-332-6527
396300,0.3119953847829403,703-483-1970
431600,0.8079971023120713,208-252-4552
313300,0.8763857435446746,215-255-1641
125000,0.8542390451168945,410-665-4903
64200,0.3035139900027449,516-212-1915
468000,0.770867906396054,615-390-2251
265200,0.3362956481412277,215-268-1275
478300,0.551216093376736,517-906-1108
516700,0.38531334979844256,918-644-9555
345200,0.3992179798984311,817-914-7518
335800,0.5810125480495987,616-737-3085
417000,0.6956581139821814,216-600-6111
121800,0.4320369044463346,414-748-1374
367100,0.5335303795674294,931-875-6644
364300,0.09224739311566754,401-960-8259
249000,0.12731082368033042,215-964-3284
166300,0.8630197451967309,212-792-8658
157800,0.7370112367448447,864-256-3620
59700,0.3682001659819638,847-233-3075
479600,0.1599485426182795,818-423-4007
363000,0.8600401763639921,757-682-7116
105000,0.7751887179760945,310-774-7643
224600,0.6999371825442607,847-633-3216
186800,0.8310188418955967,916-920-3571
163400,0.35112353653506256,732-234-1546
415100,0.39697517026511264,410-351-1863
382000,0.5244849526565364,248-913-4677
572500,0.5120980781669627,570-218-4831
389400,0.1026704835264226,307-704-8713
80200,0.7546234538080494,586-970-7380
381700,0.9054497597148731,908-877-6135
144500,0.7308331750136372,973-544-2677
598600,0.15075885609307538,615-246-1824
330400,0.704419398815998,517-499-2322
88900,0.4363868853533468,808-315-3077
144200,0.5148438966237655,818-864-4875
71000,0.4501766214956572,910-922-3672
79200,0.8760794333497938,703-221-5602
39300,0.9975131422234572,410-209-9545
518900,0.23251450501637516,570-648-3035
66100,0.3482187351308851,952-702-7993
446700,0.6889920604312245,508-769-5250
525000,0.14661073487044263,310-498-5651
219000,0.543075181798474,504-710-5840
504400,0.9057257315712197,507-210-3510
179100,0.721266280872769,951-645-3605
186400,0.39070046894371346,510-974-8671
274000,0.917523412573763,609-200-8577
512600,0.7141174326343382,907-385-4412
142600,0.13627832267219775,212-304-9225
168100,0.8694401825213336,415-411-1775
369300,0.9323520446393291,215-979-8776
314300,0.24900628908101874,920-353-6377
387300,0.2977576875430554,248-980-6904
553900,0.633869030207555,415-423-3294
535900,0.9129504783577702,605-414-2147
150900,0.25939419200278335,253-660-7821
509400,0.1289208202299339,414-263-5287
129300,0.06296475331680729,325-631-1560
332700,0.9672719674105209,414-959-2540
316400,0.2290048152730514,651-591-2583
357600,0.20807827185015626,773-446-5569
322800,0.8562678039713756,650-528-5783
132400,0.13197411657764146,512-213-8574
534100,0.9954474547213074,612-508-2655
443200,0.3182990372361869,914-861-9748
170100,0.06491948631766731,650-947-1215
513100,0.059232667733671085,201-971-1638
254200,0.9636768357451554,212-332-8435
312400,0.7425796910181519,936-336-3951
373200,0.5913473835928453,716-752-4114
541300,0.19596823069542757,973-310-1634
325700,0.7234006703938468,212-313-1783
435000,0.43303494457655745,215-934-8655
83000,0.08149213493337182,314-732-9131
464600,0.1806422033605074,310-560-8022
380300,0.4033322585956639,770-507-8791
192800,0.4810310436530859,706-221-4243
198900,0.31985747068347525,510-677-9785
145000,0.14318046617353208,856-312-2629
142900,0.7846020491987282,501-308-1040
361300,0.1032390367199848,952-768-2416
189100,0.3772093598330575,909-430-7765
556000,0.03767850491737612,516-847-4418
77600,0.46371613670114065,336-670-2640
89700,0.5618271430669858,804-550-5097
278600,0.9768832517233714,847-979-9545
588500,0.2644468375110606,907-435-9166
399400,0.020797180021581485,601-567-5386
78400,0.9097601497145358,401-465-6432
130400,0.622030021076689,510-828-7047
473700,0.6153869883498705,207-627-7565
362800,0.5319477633357991,609-524-3586
433000,0.13187162096988914,216-657-7668
277800,0.6898613432053654,410-655-8723
119800,0.5974587765483458,508-429-8576
374200,0.7544660319404564,805-275-3566
403600,0.9159200775376757,208-862-5339
516700,0.534675846838058,208-649-2373
75600,0.8547191370454553,972-934-6914
453400,0.9037790255223332,315-304-4759
493300,0.7606416960810031,610-809-1818
68000,0.5148859277920572,562-579-6900
480600,0.9481554237713471,212-582-4976
258800,0.7441757101131726,805-832-6163
132300,0.18077221223486228,386-248-4118
518800,0.6477992811969462,714-584-2237
139100,0.4824083266162603,908-802-3564
236800,0.373738552999375,973-482-2430
48500,0.7526285004130098,407-446-4358
303900,0.5478661224489622,303-301-4946
167300,0.28399527992082285,804-762-9576
255100,0.40038750576320137,212-870-1286
343300,0.9015854162552004,305-420-8970
53400,0.3379804366201469,859-717-7638
518200,0.43881106558976346,916-591-3277
111500,0.17573949146656354,330-903-1345
156600,0.03252964255620938,408-540-1785
202600,0.9348530368455111,315-818-2638
50100,0.13249068940823683,925-647-3298
334100,0.23275204190426457,609-373-3332
376600,0.2421818045427131,214-289-1973
67800,0.8086924123955952,206-311-4137
552200,0.7565965310210653,931-273-8709
133300,0.9359692874976833,419-503-2484
441400,0.7831904691254674,305-604-8981
228700,0.6249556120229519,503-939-3153
567400,0.09506997531734895,323-765-2528
329400,0.48150424696479055,717-885-9118
417000,0.37398196417029594,626-636-4117
227600,0.43404774688335324,201-991-8369
544200,0.1819301283953072,317-578-2453
416000,0.7601474618804027,815-828-2147
391700,0.6507590634707144,516-948-5768
590400,0.2909452856964956,512-587-5746
462900,0.5852405220348391,201-920-9002
355300,0.26949478028055107,574-499-1454
87700,0.1765054832062527,508-837-9230
124600,0.5668723489971703,518-966-7987
335900,0.9821975297370421,203-892-3863
59400,0.9897512437599982,212-675-8570
67800,0.4864370805255547,307-342-7795
315500,0.500941792359367,718-809-3762
275300,0.9942016238001482,212-745-8484
188900,0.34570108658856025,201-672-1553
594600,0.2683421041374954,203-506-4706
406900,0.6912136881363509,303-404-2210
229900,0.2703994304412002,908-409-2890
451400,0.49449764436515864,931-553-9774
588900,0.7507492852799286,623-461-8551
228200,0.8376600827429237,248-357-8718
401100,0.23433969621720596,212-402-9216
345000,0.46876690775171115,973-860-8610
161600,0.36359956462544296,734-561-6170
574300,0.6092124712001283,212-510-4633
591100,0.7534794104126283,718-560-9537
198600,0.2860343757040309,901-640-9178
527000,0.5931727086790998,810-292-9388
252200,0.23667435187470798,925-615-5185
191500,0.2746744663410551,419-544-4900
293600,0.3756366140928016,516-393-9967
521800,0.2654179365002939,325-869-2649
431700,0.0993893923130097,973-767-3008
108800,0.009360411444404804,206-540-6076
574600,0.4969142850946803,845-823-8877
286700,0.8615503759569254,770-732-1194
510700,0.845328723596522,440-989-5826
61700,0.7495374052560411,601-927-8287
529300,0.2875977759570356,830-258-2769
69300,0.17186780105746713,817-526-4408
303000,0.8027805834259402,956-537-6195
260700,0.08565762856221704,734-928-5182
88600,0.6802765348362751,785-463-7829
167700,0.2779949689571328,303-623-4241
90900,0.6051705489418873,570-867-7489
387300,0.25774586205807903,215-874-1229
288500,0.16080851662005302,972-419-7946
508800,0.653724227922688,407-808-9439
149800,0.9879966314271964,908-275-8357
217300,0.6307765417365233,215-211-9589
195500,0.015519332655452689,206-697-5796
73800,0.2576294702076656,973-210-3994
148500,0.9634103584065667,973-852-2736
458800,0.39251113539997595,601-234-9632
265700,0.8945555566898666,717-528-8996
305900,0.16825386367356976,228-235-5615
438400,0.3481846453881734,215-888-3304
102000,0.07962013038439941,608-382-4541
202600,0.7940234021470367,210-856-4979
184000,0.6848939328063077,614-801-9788
120600,0.3689601698940833,214-339-1809
278200,0.042327400968563245,336-370-5333
259500,0.03198400251608191,408-504-3552
212800,0.2696454649536085,305-936-8226
78200,0.5639431708832658,337-253-8384
71000,0.9027885466522404,973-927-3447
336800,0.2983102746653168,386-526-7800
339000,0.22830503497012256,719-669-1664
498000,0.17114437870861499,410-678-2473
488100,0.6491691296897808,213-975-8026
577500,0.6137645515326577,216-230-4892
408400,0.027573394464187162,215-491-5633
445800,0.317403723403454,813-932-8715
460600,0.5011637634386178,215-605-7570
383300,0.9258508740247688,775-638-9963
545600,0.23440376799967422,973-545-7355
535900,0.9876739587733918,602-390-4944
509700,0.44681420582028986,307-403-1488
562200,0.4749410197799342,410-387-5260
531700,0.6187820116436532,916-741-7884
77200,0.3607091158654673,212-304-4515
579300,0.27868756061326727,408-805-4309
168900,0.2100298406156521,602-896-2993
379400,0.023635543800772596,321-749-4981
530000,0.5394470786693352,513-508-7371
248500,0.4071974915062647,773-573-6914
88900,0.3853481722625707,410-890-7866
259900,0.5473133360636248,973-714-1721
519700,0.9502395176021117,308-726-2182
166400,0.7752753767175758,505-975-8559
533500,0.4688326903181067,803-352-5387
251600,0.6260702581612688,206-711-6498
181200,0.7398386663667976,503-516-2189
384000,0.04335969868769196,919-225-9345
209500,0.922083564857759,512-223-4791
525800,0.9578707771767283,940-276-7922
597000,0.8576659084040622,847-353-2156
396800,0.3891525146776209,808-477-4775
130900,0.9831726105038262,856-305-9731
596400,0.35886216205209787,608-967-7194
316200,0.28267399277852834,773-775-4522
412400,0.9122381383709127,337-740-9323
189700,0.4510620211612182,510-955-3016
150600,0.8817043254872466,305-385-9695
179400,0.21378804924545247,406-318-1515
241400,0.9352380104945149,619-461-9984
448200,0.2619312381965536,310-858-5079
494900,0.9592323230717252,631-957-7624
298200,0.7230435889506226,570-889-5187
43600,0.536512632827035,914-868-5965
203800,0.09137969602932317,212-260-3151
408300,0.1981631779211681,510-993-3758
539900,0.26156492253520625,732-628-9909
418400,0.29794087110963563,610-476-3501
597400,0.0277282128393731,305-988-4162
407400,0.4940016359635697,229-735-3378
71000,0.004788973730919244,301-841-5012
552000,0.5206264555082232,773-704-9903
56900,0.8757033178364293,808-215-6832
594600,0.6762934944577716,812-368-1511
62500,0.6651023903192977,808-892-7943
422900,0.9047225587282473,707-653-8214
80700,0.4413845455564903,904-775-4480
295500,0.5029165174008339,201-474-4924
171100,0.05191781534042872,209-317-1801
530400,0.5499942102634396,631-748-6479
374700,0.7847378223119807,952-651-7597
284700,0.15573273449453784,847-728-7286
100100,0.8618151034069945,978-626-2978
165700,0.6088001507706595,303-776-7548
153000,0.2088764405625524,203-801-6193
337300,0.39598814388351355,631-258-6558
103300,0.370238094981857,415-315-2761
376800,0.039967154059056154,305-670-9628
579700,0.10731263959531434,337-566-6001
530000,0.7847899710663597,610-545-3615
310200,0.6484145177752174,908-877-8409
295800,0.8957587243362012,314-359-9566
250100,0.21961579187739955,260-273-3725
214600,0.7668869229778894,972-303-9197
253000,0.5419402390353438,914-300-9193
206600,0.3761473498859257,919-623-2524
249100,0.15738738035762767,513-977-7043
117300,0.8235194259282719,817-213-8851
150900,0.27711381071455765,972-666-3413
84700,0.04163009495976622,907-870-5536
373000,0.051403920672570935,760-971-4322
234400,0.5478699785914002,814-865-8113
210400,0.1509981437611313,972-558-1665
269400,0.2862982495097611,973-943-3423
501500,0.4479732533762967,231-467-9978
357500,0.5892857350466425,503-527-5274
459000,0.23586470158192574,901-412-4381
520500,0.11211784933149138,419-571-5920
131900,0.06447784267237755,415-331-9634
354800,0.8627645229307165,203-461-1949
542200,0.6589597591405466,301-696-6420
189300,0.3685695754235152,619-509-5282
138800,0.5413327620481966,352-598-8301
38200,0.4553427283983561,626-866-2339
310800,0.2461210630767069,925-634-7158
111500,0.2168551765161415,760-616-5388
383600,0.7189841503430734,407-471-6908
201700,0.336855270035737,305-622-4739
270700,0.5578613433846702,317-542-6023
490600,0.9670566132268132,904-235-3633
154600,0.24679493324437707,718-201-3751
565000,0.6321169877358529,440-780-8425
204400,0.07637463359380714,303-402-1940
47100,0.7982490584580922,254-782-8569
155100,0.5126452948099576,609-518-7697
435000,0.7613514711969858,816-557-9673
305700,0.40210817397555065,541-326-4074
587100,0.0868820390496996,701-898-2154
531600,0.9373053750607668,717-491-5643
213700,0.40257864000346477,269-756-7222
429800,0.37420269924479177,813-769-2939
315300,0.5714001714138599,936-264-9294
555800,0.06566856747603034,310-699-1222
144400,0.6795002381273719,732-924-7882
549300,0.2286613202824297,732-605-4781
152600,0.6157947295172876,305-606-7291
125300,0.08617728552493331,508-584-4279
438600,0.8245287583029033,609-228-5265
240200,0.868317875861062,608-976-7199
515500,0.07673876939299784,303-724-7371
438900,0.6364346235938275,337-515-1438
282000,0.3895516449015548,402-896-5943
74300,0.15361308734266643,210-812-9597
401800,0.8416702635651558,407-538-5106
139500,0.39549686256577243,979-718-8968
89500,0.45611513258181124,732-730-2692
349500,0.0026859869487461108,508-942-4186
411300,0.6167729327356397,978-697-6263
97600,0.008540699259935391,201-832-4168
319900,0.17628922282733872,513-617-2362
47600,0.47699721605645284,561-470-4574
555900,0.29431412966233306,212-860-1579
322300,0.47276951865673456,317-722-5066
192000,0.768662106892281,215-558-8189
144100,0.6885766434156516,425-986-7573
152100,0.5689103947968397,202-646-7516
117400,0.9152483518330027,508-855-9887
507300,0.18148272751002736,408-758-5015
174600,0.9771952078206233,410-520-4832
348000,0.3221606299565698,336-243-5659
479600,0.04125447551103856,619-608-1763
556700,0.5283921108150706,574-656-2800
78100,0.11931999514032643,858-793-9684
288600,0.474233769998763,909-993-3242
192000,0.800620250109275,805-690-1682
87400,0.5512324780441558,973-412-2995
425500,0.8658758324148784,973-751-9003
509600,0.4826046090917183,216-923-3715
298200,0.11792878867909506,419-588-8719
264900,0.12766639893895837,913-413-4604
417400,0.8666403670928295,915-452-1290
321700,0.9007626960706963,203-721-3388
429600,0.6426632858912604,901-901-4726
521400,0.9851008973636143,312-303-5453
231200,0.6262250552131637,504-979-9175
